NO,FIELD_NAME,RAW_FIELD_NAME,TYPE,DESCRIPTION,REFERENCE,MAX_LENGTH
1,YEAR,YEAR,C,Calendar year in which the reported activities occurred.,"Part I, Section 1",4
2,TRIFD,TRIFID,C,The unique TRI facility identification number assigned to each facility for TRI reporting purposes.,"Part I, Section 4.1",15
3,FRS_ID,FRS ID,C,Unique identification number assigned by EPA’s Facility Registry Service (FRS) to the TRI facility.,,12
4,FACILITY_NAME,FACILITY NAME,C,Name of the reporting facility.,"Part I, Section 4.1",62
5,STREET_ADDRESS,STREET ADDRESS,C,,"Part I, Section 4.1",62
6,CITY,CITY,C,,"Part I, Section 4.1",28
7,COUNTY,COUNTY,C,,"Part I, Section 4.1",50
8,ST,STATE,C,,"Part I, Section 4.1",2
9,ZIP,ZIP,C,ZIP code of the reporting facility.,"Part I, Section 4.1",9
10,BIA,BIA,C,Three-letter Bureau of Indian Affairs (BIA) code indicating the tribe on whose land the reporting facility is located.,,3
11,TRIBE,TRIBE,C,Name of the tribe on whose land the reporting facility is located.,,350
12,LATITUDE,LATITUDE,N,The latitude value that best represents the facility according to EPA’s Facility Registry System (FRS).,,"9,6"
13,LONGITUDE,LONGITUDE,N,The longitude value that best represents the facility according to EPA’s Facility Registry System (FRS).,,"10,6"
14,HORIZONTAL_DATUM,HORIZONTAL DATUM,C,"The horizontal datum used in determining the latitude and longitude coordinates. Allowed values: NAD27, NAD83 and WGS84.",,5
15,PARENT_CO_NAME,PARENT CO NAME,C,Name of the corporation or other business entity that controls the reporting facility.,"Part I, Section 5.1",60
16,PARENT_CO_DB_NUM,PARENT CO DB NUM,C,Unique identification number assigned by Dun and Bradstreet to the parent company of the reporting facility.,"Part I, Section 5.2",9
17,STANDARD_PARENT_CO_NAME,STANDARDIZED PARENT COMPANY NAME,C,A data field developed by EPA that is intended to best reflect the current ultimate U.S. parent company of the facility.,,
18,FOREIGN_PARENT_CO_NAME,FOREIGN PARENT CO NAME,C,Name of the foreign corporation that owns the facility if there is a higher-level parent company outside of the United States.,"Part I, Section 5.3",
19,FOREIGN_PARENT_CO_DB_NUM,FOREIGN PARENT CO D&B NUM,C,"Unique identification number assigned by Dun and Bradstreet to the foreign parent company of the reporting facility, if one exists.","Part I, Section 5.4",
20,STANDARD_FOREIGN_PARENT_CO_NAME,STND FOREIGN PARENT CO,C,A data field developed by EPA that is intended to best reflect the current foreign parent company of the facility.,,
21,FEDERAL_FACILITY,FEDERAL FACILITY IND,C,Flag indicating whether the facility is federally owned and operated.,Part I Section 4.2c,3
22,INDUSTRY_SECTOR_CODE,INDUSTRY SECTOR CODE,C,North American Industry Classification System (NAICS) code used to identify the facility’s sector.,,4
23,INDUSTRY_SECTOR,INDUSTRY SECTOR,C,"The industry or sector (e.g., Coal Mining, Metal Mining, Electrical Utilities, etc.) a facility belongs to.",,120
24,PRIMARY_SIC,PRIMARY SIC,C,Primary 4-digit Standard Industrial Classification (SIC) code.,"Part I, Section 4.5a",4
25,SIC_2,SIC 2,C,Second 4-digit Standard Industrial Classification (SIC) code entered by facility.,"Part I, Section 4.5b",4
26,SIC_3,SIC 3,C,Third four-digit Standard Industrial Classification (SIC) code entered by facility.,"Part I, Section 4.5c",4
27,SIC_4,SIC 4,C,Fourth four-digit Standard Industrial Classification (SIC) code entered by facility.,"Part I, Section 4.5d",4
28,SIC_5,SIC 5,C,Fifth four-digit Standard Industrial Classification (SIC) code entered by facility.,"Part I, Section 4.5d",4
29,SIC_6,SIC 6,C,Six four-digit Standard Industrial Classification (SIC) code entered by facility.,"Part I, Section 4.5d",4
