id,address
1,RD 115 KM 226 AGUADA INDUSTRIAL PARK PR 00602
2,HWY 110 N KM 5.1 PR 00603
3,LA MONTANA INDUSTRIAL PARK ST B LOT 52 PR 00603
4,PR3 KM 151.8 AGUIRRE PR 00751
5,990 WEST PARADE ROAD PR 00603
6,CARR 110 KM. 5.1 PR 00603
7,PR#467 KM 0.9 BO. CAMACEYES PR 00603
8,STATE RD 402 KM 1.4 N LAS MARIAS IND US TRIAL PARK PR 00610
9,STATE RD 402 KM 1.5 INDUSTRIAL ZONE PR 00610
10,RD PR-2, KM. 72.2 CAMBALACHE WARD PR 00612
11,PR-681 KM 0.5 PR 00612
12,517 ZONA IND US TRIAL PR 00612
12,517 ZENO GANDIA INDUSTRIAL PARK PR 00612
13,RT. 129 KM. 41.0 ZENO GANDIA INDUSTRIAL PARK PR 00612
14,RD 2 KM 67.6 SANTANA IND US TRIAL PARK PR 00612
15,RD NO.2 KM 58.0 CRUCE DAVILA PR 00617
16,RD NO2 KM 58.0 CRUCE DAVILA PR 00617
17,STATE RD # 2,  KM 54.6 PR 00617
18,ROAD #2 KM 56.7 PR 00617
19,HWY #2 KM 58.2 PR 00617
20,TOMAS DAVILA ST EDIF 10  PALMAS ALTAS INDUSTRIAL P PR 00617
21,RD # 140, KM 64.4 PR 00617
22,PR-2,  KM 60.0 PR 00612
23,PR 28 KM 2 LUCHETTI IND US TRIAL PARK PR 00961
24,25 C STREET MINILLAS INDUSTRIAL PARK BAYAMON PR PR 00959
25,PR-28 CORNER PR-05 LUCHETTI PR 00961
26,STATE RD 402 EDWARD BOULEVARD - INDUSTRIAL PARK PR 00610
27,PR-2 INTERIOR KM. 56.7 PR 00617
28,ROAD #129 KM 40.09 ZENO GANDIA INDUSTRIAL PARK PR 00612
29,PR-28 CORNER PR-05 LUCHETTI IND US TRIAL PARK PR 00961
30,RD 337 KM 3.7 BO. TALLABOA PONIENTE PR 00624
30,RD 337 KM 3.7 FIRM DELIVERY PR 00624
31,RD 1 KM 27.1 RAMAL 798 BO. RIO CANAS PR 00725
32,SAKURA ST VILLA BLANCA IND US TRIAL PARK PR 00725
33,430 CALLE FABRIL PR 00987
34,ROAD PR-874 KM 1.1 TORRECILLA ALTA PR 00729
35,PR-127 KM. 0.4 INTERIOR TALLABOA PONIENTE WARD PR 00624
36,CARRETERA 127 INT 385 - ENTRADA MUELLE TALLABOA PR 00624
37,380 CALLE FABRIL ST KM 126 PR-3, PR INDUSTRIAL PAR PR 00985
38,AVE 65 DE INFANTERIA KM 7.0 PR 00985
39,RD # 165 KM 2.6 IND US TRIAL AREA PR 00962
40,ROAD 735, KM 2.3 BO. RIO LLANO PR 00736
41,RD 6685, KM 11.2 PR 00638
42,RD 172 KM 13.4 PR 00739
