"idx","provider_name","center_type","phone","address_1","address_2","address_3"
1,"university of miami als center","certified treatment center of excellence","18006902571","1150 nw 14th st.","ste. 609","miami; fl 33136"
2,"georgetown university","mda care center","2024441774","3800 reservoir road nw",NA,"washington; dc 20007"
3,"georgetown university als clinic","affiliated clinic","2024448525","pascquerilla healthcare center (phc); 7th floor","3800 reservoir road; nw","washington; dc 20007"
4,"children's national medical center","mda care center","2024763094","111 michigan avenue nw",NA,"washington; dc 20010"
5,"the john j. kelly als clinic","certified treatment center of excellence","2027412700","2150 pennsylvania ave. nw","7-401","washington; dc 20037"
6,"yale new haven children’s hospital","mda care center","2037854081","1 long wharf drive","2nd floor","new haven; ct 06511"
7,"yale medicine center for musculoskeletal care","affiliated clinic","2038634490","15 valley drive","suite 201","greenwich; ct 06831"
8,"va connecticut interdisciplinary als clinic","certified treatment center of excellence","2039325711","950 campbell ave.",NA,"west haven; ct 06516"
9,"the children's hospital of uab","mda care center","2056389941","1600 7th avenue south",NA,"birmingham; al 35233"
10,"alabama neurology associates","recognized treatment center","2058032210","3105 independence drive suite 105",NA,"birmingham; al 35209"
11,"the university of alabama at birmingham- kirklin clinic","mda care center","2059342120","1720 7th avenue south","suite 240","birmingham; al 35233"
12,"als association certified center of excellence at swedish","certified treatment center of excellence","2063203494","500 17th ave.",NA,"seattle; wa 98122"
13,"als association certified center of excellence at virginia mason","certified treatment center of excellence","2063411900","1100 ninth ave.",NA,"seattle; wa 98101"
14,"uw neurology clinic","affiliated clinic","2065987688","1959 ne pacific st.",NA,"seattle; wa 98195"
15,"als association certified center of excellence at va puget sound health care system","certified treatment center of excellence","2067165756","1660 s columbian way","s-rcs-117","seattle; wa 98108"
16,"seattle children's hospital","mda care center","2069872114","4800 sand point way ne","ocean entrance 8th floor","seattle; wa 98105"
17,"mid coast hospital als clinic","affiliated clinic","2073736099","329 bath rd.","suite 3a","brunswick; me 04011"
18,"maine medical partners","mda care center","2078831414","92 campus drive","2nd floor","scarborough; me 04074"
19,"northern light eastern maine medical center","mda clinic","2079736588","905 union street","suite 9","bangor; me 04401"
20,"le bois neurology","affiliated clinic","2083436200","3875 e. overland road suite 201",NA,"meridian; id 83642"
21,"st. luke's children's hospital","mda care center","2083816900","100 e. idaho street","suite 200","boise; id 83712"
22,"st. luke’s rehabilitation hospital- als care center","mda care center","2083819375","600 n. robbins road","2nd floor","boise; id 83702"
23,"idaho physical medicine and rehabilitation","mda clinic","2088841333","161 e mallard dr","suite 120","boise; id 83706"
24,"st. luke’s rehabilitation hospital- adult care center","mda care center","2089085281","600 n. robbins road","suite 300","boise; id 83702"
25,"university of texas health science center - san antonio","certified treatment center of excellence","2104509700","8300 floyd curl dr.","4th floor; mc 7883","san antonio; tx 78229"
26,"children's hospital of san antonio","mda care affiliate","2107044841","333 n santa rosa st","4th floor","san antonio; tx 78207"
27,"south texas va als clinic","affiliated clinic","2107924378","7400 merton minter",NA,"san antonio; tx 78229"
28,"new york university","mda/als care center","2122636350","301 e. 17th street",NA,"new york; ny 10003"
29,"columbia university medical center- adult care center","mda/als care center","2123051319","710 w. 168th street","3rd floor","new york; ny 10032"
30,"columbia university medical center - eleanor and lou gehrig als center","certified treatment center of excellence","2123056788","710 west 168th st.",NA,"new york; ny 10032"
31,"columbia university medical center- pediatric care center","mda/als care center","2123426867","180 fort washington avenue","5th floor","new york; ny 10032"
32,"the als center at mount sinai downtown union square","certified treatment center of excellence","2128446188","department of neurology","10 union square east; 5th floor- 5d","new york; ny 10003"
33,"children's medical center of dallas","mda clinic","2144562768","2350 n. stemmons freeway","5th floor","dallas; tx 75207"
34,"university of texas- southwestern","mda/als care center","2146458300","5303 harry hines blvd",NA,"dallas; tx 75390"
35,"texas neurology als center","affiliated clinic","2148273610","6080 north central expressway",NA,"dallas; tx 75206"
36,"the children's hospital of philadelphia","mda care center","2155901719","3500 civic center blvd","10th floor","philadelphia; pa 19104"
37,"hospital of the university of pennsylvania","mda/als care center","2156623606","3400 civic center blvd","south pavilion 2nd floor","philadelphia; pa 19104"
38,"temple university hospital","mda/als care center","2157078457","3509 n. broad street","5th floor","philadelphia; pa 19140"
39,"corporal michael j. crescenz va medical center","veterans administration","2158235800","3900 woodland ave.",NA,"philadelphia; pa 19104"
40,"penn comprehensive als center","als center","2158293053","330 s. 9th street","3rd floor","philadelphia; pa 19107"
41,"jefferson weinberg als center","certified treatment center of excellence","2159558800","909 walnut st.","second floor","philadelphia; pa 19107"
42,"cleveland clinic","certified treatment center of excellence","2164445559","9500 euclid ave.",NA,"cleveland; oh 44195"
43,"metrohealth medical center","mda care center","2167787800","2500 metrohealth drive",NA,"cleveland; oh 44109"
44,"louis stokes cleveland department of veterans affairs medical center","certified treatment center of excellence","2167913800","sci service 128 w","10701 e. blvd.","cleveland; oh 44106"
45,"university hospitals cleveland medical center","affiliated clinic","2168444854","3619 park east dr.","suite 109","beachwood; oh 44122"
46,"carle medical group","mda care center","2173833440","610 n. lincoln avenue",NA,"urbana; il 61801"
47,"southern illinois university","mda care center","2175458000","751 n. rutledge","neurology department suite 3100","springfield; il 62702"
48,"essentia health- duluth clinic neurology","recognized treatment center","2187863925","400 east third st.",NA,"duluth; mn 55805"
49,"our lady of the lake als clinic","affiliated clinic","2252152193","5247 didesse dr.",NA,"baton rouge; la 70808"
50,"lee health als clinic","affiliated clinic","2393430776","13601 plantation rd.",NA,"fort myers; fl 33912"
51,"beaumont health neuroscience center-adult and pediatric ","mda care center","2485517370","3555 w. 13 mile road",NA,"royal oak; mi 48073"
52,"vm franciscan als clinic at st. joseph medical center","affiliated clinic","2534264416","1617 s. j street",NA,"tacoma; wa 98405"
53,"va puget sound health care system","veterans administration","2535831646","9600 veterans dr.","sw a-117-rcs","tacoma; wa 98493"
54,"kaiser permanente als clinic - tacoma","affiliated clinic","2535963410","9505 steele st s",NA,"tacoma; wa 98444"
55,"central texas va als clinic (austin)","affiliated clinic","2543923264","7901 metropolis dr.",NA,"austin; tx 78744"
56,"the als care clinic at crestwood medical center","certified treatment center of excellence","2564294113","610 airport road suite 110",NA,"huntsville; al 35802"
57,"parkview neuroscience als clinic","affiliated clinic","2604256780","11104 parkview circle","suite 040","fort wayne; in 46845"
58,"bronson neuroscience center","affiliated clinic","2693417500","601 john st.","suite m-124","kalamazoo; mi 49007"
59,"alfred i. dupont hospital for children","mda care center","3026514200","1600 rockland road","orange module 3rd floor","wilmington; de 19803"
60,"kaiser denver als clinic","affiliated clinic","3033384545","1375 east 20th ave.",NA,"denver; co 80124"
61,"denver va als clinic","affiliated clinic","3037247408","1700 n. wheeling st.",NA,"aurora; co 80045"
62,"national jewish health/blue sky neurology als clinic","affiliated clinic","3037814485","1400 jackson st.","suite 360","denver; co 80206"
63,"west virginia university- pediatric care center","mda/als care center","3045984835","1 medical center drive","pediatric neurology suite 6th floor","morgantown; wv 26506"
64,"west virginia university- school of medicine","affiliated clinic","3045986127","1 stadium dr.","3rd floor eye institute","morgantown; wv 26506"
65,"marshall health als clinic","affiliated clinic","3046963246","1 john marshall dr.",NA,"huntington; wv 25755"
66,"university of miami","mda/als care center","3052437400","1150 nw 14th street","suite 609","miami; fl 33136"
67,"osf healthcare illinois neurological institute","mda care center","3096244000","200 e. pennsylvania avenue",NA,"peoria; il 61603"
68,"harbor-ucla als clinic","affiliated clinic","3102223898","1000 w carson st.","n-24","torrance; ca 90509"
69,"center for als care at cedars sinai medical center","certified treatment center of excellence","3104231525","127 s. san vicente blvd.","advanced health sciences pavilion; sixth floor; a660","los angeles; ca 90048"
70,"cedars-sinai medical center","mda/als care center","3104235700","8700 beverly blvd","neurology department","los angeles; ca 90048"
71,"veteran’s administration - west los angeles","veterans administration","3104783711","11301 wilshire blvd.",NA,"los angeles; ca 90073"
72,"kaiser permanente als clinic - south bay","recognized treatment center","3105172336","25965 s. normandie ave.",NA,"harbor city; ca 90710"
73,"university of california- los angeles","mda/als care center","3107941195","300 ucla medical plaza","suite b200","los angeles; ca 90095"
74,"ann & robert h. lurie children's hospital of chicago","mda care center","3122273550","225 e. chicago avenue","3rd floor","chicago; il 60611"
75,"university of illinois at chicago","mda care center","3123555265","1801 w.taylor street","suite 4-e","chicago; il 60612"
76,"rush hospital als multidisciplinary clinic","affiliated clinic","3125632053","1753 w harrison","suite 1118","chicago; il 60612"
77,"northwestern university","mda/als care center","3126957950","675 n. st. clair street","20th floor","chicago; il 60611"
78,"rush university medical center","mda care center","3129425936","1725 w. harrison street","suite 1118","chicago; il 60612"
79,"university of illinois hospital and health sciences system","certified treatment center of excellence","3129964780","1801 west taylor st.","room 4e","chicago; il 60612"
80,"children's hospital of michigan","mda care center","3138329075","3901 beaubien",NA,"detroit; mi 48201"
81,"harry j. hoenselaar clinic","certified treatment center of excellence","3139162835","2799 west grand blvd. k11-neurology detroit; mi 48202","k11-neurology","detroit; mi 48202"
82,"va st. louis health care system als clinic","recognized treatment center","3142897914","915 n. grand blvd.",NA,"st. louis; mo 63106"
83,"neuromuscular clinic","affiliated clinic","3143626981","department of neurology","660 s. euclid ave.","st. louis; mo 63110"
84,"st. louis university health science center","certified treatment center of excellence","3149776082","1438 s grand blvd.",NA,"st louis; mo 63104"
85,"syracuse va als clinic","veterans administration","3154254400","800 irving ave",NA,"syracuse; ny 13210"
86,"suny upstate medical university","certified treatment center of excellence","3154644243","750 east adams st.",NA,"syracuse; ny 13210"
87,"wichita als clinic","affiliated clinic","3166120188","3450 n. rock rd.","ste 503","wichita; ks 67226"
88,"indiana university","mda care center","3179485450","355 w. 16th street","neurology 3rd floor","indianapolis; in 46202"
89,"riley hospital for children","mda care center","3179487450","705 riley hospital drive",NA,"indianapolis; in 46202"
90,"the indiana university als center at iu health","certified treatment center of excellence","3179637385","355 west 16th st.",NA,"indianapolis; in 46202"
91,"richard l. roudebush va medical center","veterans administration","3179882715","1481 w 10th st.",NA,"indianapolis; in 46202"
92,"louisiana state university- shreveport","mda care center","3186262482","1606 kings highway","neurology department","shreveport; la 71103"
93,"rapides regional medical center","mda care center","3187697640","501 medical drive","4th floor suite 4-b","alexandria; la 71301"
94,"iowa city va als clinic","recognized treatment center","3193380581","601 highway 6 west","(11e)","iowa city; ia 52246"
95,"university of iowa- myotonic clinic","mda/als care center","3193534343","200 hawkins drive",NA,"iowa city; ia 52242"
96,"university of iowa hospitals & clinics","mda/als care center","3193562229","200 hawkins drive",NA,"iowa city; ia 52242"
97,"university of iowa health care","affiliated clinic","3193568958","200 hawkins dr.",NA,"iowa city; ia 52242"
98,"university of iowa- cmt clinic","mda/als care center","3193846362","200 hawkins drive",NA,"iowa city; ia 52242"
99,"university of iowa health care","affiliated clinic","3193847292","8605 chambery blvd.",NA,"johnston; ia 50131"
100,"orlando health physicians group – neurology","affiliated clinic","3218429805","32 w. gore st.","3rd floor","orlando; fl 32806"
101,"children's hospital of los angeles","mda care center","3233615919","4650 sunset blvd","neurology department","los angeles; ca 90027"
102,"keck medicine of usc als clinic","certified treatment center of excellence","3234420259","1520 san pablo st.","suite 3000","los angeles; ca 90033"
103,"children's hospital medical center of akron","mda care affiliate","3305438050","1 perkins square",NA,"akron; oh 44308"
104,"dean martin neuromuscular clinic","mda care affiliate","3307467211","1044 belmont avenue",NA,"youngstown; oh 44501"
105,"wake forest baptist health medical center","certified treatment center of excellence","3367162323","medical center blvd.",NA,"winston-salem; nc 27157"
106,"wake forest university","mda care center","3367164101","1 medical center blvd","department of neurology","winston-salem; nc 27157"
107,"uf health gainesville - norman fixel institute for neurological diseases","affiliated clinic","3522945400","3009 sw williston road",NA,"gainesville; fl 32608"
108,"university of florida adult care center","mda care center","3522945757","2000 sw archer road","adult neurology 3rd floor","gainesville; fl 32610"
109,"driscoll children's hospital","mda care center","3616946747","3533 s. alameda street",NA,"corpus christi; tx 78411"
110,"the louise wilcox als clinic","recognized treatment center","4014443032","neurology foundation","593 eddy st.; apc bldg 5th floor","providence; ri 02903"
111,"rhode island hospital- pediatric care center","mda clinic","4014443791","335-r prairie avenue","1st floor","providence; ri 02905"
112,"rhode island hospital- adult care center","mda clinic","4014446447","593 eddy street","5th floor","providence; ri 02903"
113,"neurology associates- pc","mda clinic","4024837226","2631 s. 70th street",NA,"lincoln; ne 68506"
114,"the university of nebraska medical center","certified treatment center of excellence","4025526646","4242 farnam st.","suite 650","omaha; ne 68198"
115,"university of nebraska","mda care center","4025598600","4239 farnam street","south tower 1st floor suite 105","omaha; ne 68131"
116,"emory university","mda/als care center","4047783444","1365 clifton road building b","neuroscience suite 2nd floor","atlanta; ga 30322"
117,"emory als center","certified treatment center of excellence","4047783754","12 executive park drive ne","suite 257","atlanta; ga 30316"
118,"children's healthcare of atlanta at scottish rite","mda care center","4047854595","1001 johnson ferry road",NA,"atlanta; ga 30342"
119,"integris southwest medical center","mda/als care center","4056445170","4401 s. western avenue","suite 5010","oklahoma city; ok 73109"
120,"billings clinic hospital- adult care center","mda care center","4062382410","801 n. 29th street","neurology department","billings; mt 59101"
121,"billings clinic","affiliated clinic","4062382500","801 n 29th st.",NA,"billings; mt 59101"
122,"adventhealth medical group neurology at winter park als clinic","affiliated clinic","4073036729","1573 w fairbanks ave.; suite 210",NA,"winter park; fl 32789"
123,"nemours children's hospital","mda care center","4076507250","13535 nemours parkway",NA,"orlando; fl 32827"
124,"kaiser permanente als clinic - san jose","affiliated clinic","4089723000","275 hospital parkway",NA,"san jose; ca 95119"
125,"university of maryland als clinic","certified treatment center of excellence","4103283100","827 linden avenue",NA,"baltimore; md 21201"
126,"tidalhealth peninsula regional als clinic","recognized treatment center","4109122889","100 east carroll st.",NA,"salisbury; md 21801"
127,"johns hopkins university- pediatric care center","mda care center","4109554259","601 n. caroline street","outpatient center 5th floor","baltimore; md 21287"
128,"johns hopkins university- adult care center","mda care center","4109556435","601 n. caroline street","outpatient center 5th floor","baltimore; md 21287"
129,"johns hopkins university- als care center","mda/als care center","4109558511","601 n. caroline street","outpatient center 5th floor","baltimore; md 21287"
130,"allegheny health network als center","certified treatment center of excellence","4123598193","420 e. north ave.","suite 206","pittsburgh; pa 15212"
131,"university of pittsburgh medical center","mda/als care center","4126924917","1471 5th avenue","suite 810","pittsburgh; pa 15213"
132,"university of pittsburgh als clinic","affiliated clinic","4126924920","3471 fifth ave.",NA,"pittsburgh; pa 15213"
133,"children's hospital of pittsburgh","mda care center","4126925520","4401 penn avenue","6th floor","pittsburgh; pa 15224"
134,"baystate behavioral health","mda care affiliate","4137940000","759 chestnut street","pediatric clinic: 50 wason avenue","springfield; ma 01109"
135,"children's hospital of wisconsin","mda care center","4142663464","9000 w. wisconsin avenue",NA,"milwaukee; wi 53226"
136,"milwaukee va medical center als clinic","certified treatment center of excellence","4143842000","5000 west national ave.",NA,"milwaukee; wi 53295"
137,"froedtert & the medical college of wisconsin","certified treatment center of excellence","4148055224","9200 w. wisconsin ave.",NA,"milwaukee; wi 53226"
138,"froedtert memorial lutheran hospital","mda care center","4148058710","9200 w. wisconsin avenue",NA,"milwaukee; wi 53226"
139,"the als research and treatment center at ucsf","certified treatment center of excellence","4153532122","400 parnassus ave.","8th floor","san francisco; ca 94117"
140,"ucsf benioff children’s hospital","mda care center","4153533682","1825 4th street","suite 6a","san francisco; ca 94158"
141,"kaiser permanente san rafael medical center","recognized treatment center","4154442000","99 monticello rd.",NA,"san rafael; ca 94903"
142,"veteran’s administration - san francisco","recognized treatment center","4155517300","4150 clement st.","stop 15inc","san francisco; ca 94121"
143,"forbes norris als research and treatment center","certified treatment center of excellence","4156001264","1100 van ness","6th floor","san francisco; ca 94109"
144,"california pacific medical center","mda/als care center","4156003604","2324 sacramento street","suite 150","san francisco; ca 94115"
145,"kaiser permanente san francisco als multidisciplinary clinic","recognized treatment center","4158334555","450 6th ave.","3rd floor neurology","san francisco; ca 94118"
146,"the als clinic of the ozark","affiliated clinic","4178753087","department of neurology","3801 s. national ave.; suite 900","springfield; mo 65807"
147,"toledo children's hospital","mda care center","4192915599","2150 w. central avenue",NA,"toledo; oh 43606"
148,"als clinic at erlanger","affiliated clinic","4237789001","979 east third st.","suite c-830","chattanooga; tn 37403"
