idx,address,matched_street,matched_zip,matched_city,matched_state,lat,lon,score,precision,geocode_result
75,3333 burnet avenue cincinnati oh 45229,NA,NA,NA,NA,NA,NA,NA,NA,cincy_inst_foster_addr
7,501 medical drive alexandria la 71301,NA,71301,Alexandria,LA,NA,NA,0.612,zip,imprecise_geocode
227,department of neurology new york ny 10003,NA,10003,New York,NY,NA,NA,0.885,zip,imprecise_geocode
129,outpatient rehab building greenville nc 27835,NA,27835,Greenville,NC,NA,NA,0.889,zip,imprecise_geocode
275,neurology department riverside ca 92505,NA,92505,Riverside,CA,NA,NA,0.89,zip,imprecise_geocode
269,neurology foundation providence ri 02903,NA,02903,Providence,RI,NA,NA,0.893,zip,imprecise_geocode
304,department of neurology san leandro ca 94577,NA,94577,San Leandro,CA,NA,NA,0.893,zip,imprecise_geocode
325,department of neurology springfield mo 65807,NA,65807,Springfield,MO,NA,NA,0.893,zip,imprecise_geocode
214,boston ma 02114 NA,Noah Rd,37355,Noah,TN,NA,NA,0.286,street,imprecise_geocode
162,200 muir rd joanna dearlove m d,Murray Rd,19520,Joanna,PA,NA,NA,0.33,street,imprecise_geocode
329,department of neurology st louis mo 63110,St Louis Ave,63121,NA,NA,NA,NA,0.366,street,imprecise_geocode
349,pascquerilla healthcare center phc 7th floor washington dc 20007,Savannah Ter SE,20020,NA,NA,NA,NA,0.378,street,imprecise_geocode
93,1375 east 20th ave denver co 80124,E 20th Ct,80136,NA,NA,NA,NA,0.415,street,imprecise_geocode
235,university of north carolina school of medicine charlotte campus north charlotte nc 28207,University Commercial Pl,28213,NA,NA,NA,NA,0.431,street,imprecise_geocode
171,one medical center drive lebanon nh 03756,Center Rd,03773,NA,NA,NA,NA,0.466,street,imprecise_geocode
172,one medical center drive lebanon nh 03756,Center Rd,03773,NA,NA,NA,NA,0.466,street,imprecise_geocode
110,736 broadway rt 1049 fargo nd 58122,Broadway N,58102,NA,NA,NA,NA,0.482,street,imprecise_geocode
77,sci service 128 w cleveland oh 44106,Service Ct,44144,NA,NA,NA,NA,0.487,street,imprecise_geocode
212,1 medical center drive morgantown wv 26506,Medical Center Dr,26505,NA,NA,NA,NA,0.488,street,imprecise_geocode
