NDC,INGREDIENT
00603221221,amitriptyline
50419039501,darolutamide
59011043010,oxycodone
00456342833,memantine
47781023001,acetaminophen
47781023001,oxycodone
43547041610,lisinopril
00781185220,clavulanate
00781185220,amoxicillin
66582041454,ezetimibe
13668010390,donepezil
69238115409,ezetimibe
57664022388,oxycodone
00006483703,streptococcus pneumoniae type 1 capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 10a capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 11a capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 12f capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 14 capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 15b capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 17f capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 18c capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 19a capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 19f capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 2 capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 20 capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 22f capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 23f capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 3 capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 33f capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 4 capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 5 capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 6b capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 7f capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 8 capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 9n capsular polysaccharide antigen
00006483703,streptococcus pneumoniae type 9v capsular polysaccharide antigen
00378181710,levothyroxine
00378181510,levothyroxine
00904198280,acetaminophen
61314063705,prednisolone
57664037088,oxycodone
00093005805,tramadol
16729021417,doxazosin
00169517603,estradiol
49884006501,glycopyrronium
00378001805,metoprolol
51672402301,acetazolamide
00071101368,pregabalin
62175013643,omeprazole
13107001401,glycopyrronium
68180050203,meloxicam
70710128601,baclofen
00093172101,warfarin
60505328506,riluzole
29300013905,valproate
00472091145,metronidazole
59651000205,omeprazole
00603533621,prednisone
00143971710,folic acid
11534016503,folic acid
68462038160,riluzole
00173069600,salmeterol
00173069600,fluticasone
66689002316,acetaminophen
66689002316,hydrocodone
68382009905,paroxetine
65162003311,acetaminophen
65162003311,codeine
00054074287,albuterol
00406577101,methadone
60505036302,ofloxacin
31722022205,gabapentin
00781531710,zolpidem
42571033201,methenamine
00591320201,acetaminophen
00591320201,hydrocodone
65862001105,sertraline
00781282201,fluoxetine
60505006501,omeprazole
68382006710,simvastatin
00172392660,diazepam
00781543920,cefpodoxime
45963014190,bupropion
00378181301,levothyroxine
00555015802,chlordiazepoxide
00781148701,amitriptyline
62175012837,isosorbide
16714066302,gabapentin
19515081652,influenza a virus (h1n1) antigen
19515081652,influenza a virus (h3n2) antigen
19515081652,influenza b virus antigen
00469060773,tacrolimus
51672403201,warfarin
67877051210,atorvastatin
62037083001,metoprolol
13107003105,mirtazapine
00093894301,acyclovir
57664037718,tramadol
16729044917,levothyroxine
00093738598,venlafaxine
00904674860,bisacodyl
59310057922,albuterol
00591544005,doxycycline
00093215801,trimethoprim
69618003701,vitamin b12
00116200116,chlorhexidine
00093101042,mupirocin
00172290780,furosemide
00378180910,levothyroxine
67877011601,methadone
00781569031,ezetimibe
00591024105,lorazepam
00093742698,montelukast
00378191210,clonazepam
00603154358,potassium chloride
59762171003,eplerenone
00172541160,fluconazole
00472033730,hydrocortisone
45802006535,triamcinolone
00228299650,tamsulosin
00555083502,warfarin
00527163801,levothyroxine
00378632277,hydrochlorothiazide
00378632277,valsartan
68382005610,warfarin
00168014630,hydrocortisone
29300017105,memantine
00006011731,montelukast
00574019451,ergocalciferol
72205002205,atorvastatin
68382019710,pramipexole
00591217205,acetaminophen
00591217205,hydrocodone
00069046912,varenicline
00406036705,acetaminophen
00406036705,hydrocodone
00781145310,glipizide
59762010402,sulfasalazine
00574200802,nystatin
00781342868,enoxaparin
00591069801,hydroxychloroquine
59310057920,albuterol
59779008002,terbinafine
49884014809,dexlansoprazole
65162051111,spironolactone
62756044518,donepezil
68180051802,lisinopril
68180051802,hydrochlorothiazide
00378116580,buspirone
16729018929,mycophenolic acid
00074612390,fenofibrate
00527134310,levothyroxine
00597007541,tiotropium
00378415105,tramadol
59011048010,oxycodone
52544007730,testosterone
68001033308,lisinopril
68382003616,venlafaxine
00185062010,lisinopril
16714070801,mirtazapine
00172376080,lisinopril
55111053401,valproate
57237001401,tamsulosin
31722023890,amlodipine
68180071909,amlodipine
63304069201,clindamycin
43547033710,benazepril
51672400503,carbamazepine
49884094601,tramadol
49884094601,acetaminophen
00378180310,levothyroxine
00228205750,lorazepam
60505395203,omeprazole
51672402703,warfarin
59762372001,alprazolam
68645040870,losartan
00093721498,metformin
13668011790,losartan
13668011790,hydrochlorothiazide
45802095243,ibuprofen
00781518192,levothyroxine
64764008060,lubiprostone
00228277811,propranolol
65162054150,cyclobenzaprine
31722053705,levetiracetam
00228280111,pilocarpine
65862014990,finasteride
00832046515,nystatin
00591216910,valsartan
00185094098,cholestyramine resin
00093204805,pioglitazone
62332003731,lamotrigine
00228253996,carbidopa
00228253996,levodopa
00078032705,entacapone
64376081201,phenazopyridine
69097052834,esomeprazole
60505280707,carbamazepine
68001024805,montelukast
47335060518,alprazolam
11917009248,cholecalciferol
00677197801,nisoldipine
50458058030,rivaroxaban
00378181501,levothyroxine
13668010210,donepezil
00603155416,potassium chloride
00008083321,venlafaxine
69238183607,levothyroxine
42806040021,methylprednisolone
00832102500,baclofen
60505258009,atorvastatin
00574050801,ferrous gluconate
68382080601,trazodone
00378145401,estradiol
00527328643,levothyroxine
00781518392,levothyroxine
29300039710,amlodipine
68180029606,duloxetine
17478060930,tafluprost
65162052010,phenazopyridine
68382022705,amiodarone
50111064844,fluoxetine
00378400505,alprazolam
00143974010,prednisone
63304090430,valacyclovir
68180021109,losartan
65162010250,gabapentin
00378048701,theophylline
61314054701,latanoprost
69097084205,quinapril
00591041150,doxycycline
00603211521,allopurinol
00338000404,water
23155014201,doxycycline
65162062750,tramadol
