CRF,CRF ID,CDE ID,CDE Name,Variable Name,Definition,Short Description,Question Text,Permissible Values,Description,Data Type,Disease Specific Instructions,Disease Specific Reference,Population,Classification,Version Number,Version Date,CRF Name,Subdomain Name,Domain Name,Size,Input Restrictions,Min Value,Max Value,Measurement Type,External Id Loinc,External Id Snomed,External Id caDSR,External Id CDISC
Schwab and England Activities of Daily Living Scale (ADL-Scale),F0991,C12030,Schwab and England Activities of Daily Living (ADL) - Patient assessment scale,ADLPatAssessmtScale,Assess a person's ability to perform daily activities in terms of speed and independence through a percentage figure,Assess a person's ability to perform daily activities in terms of speed and independence through a percentage figur,Rate the ability to perform daily activities in terms of speed and independence in 10% increments,100%;90%;80%;70%;60%;50%;40%;30%;20%;10%;0%,"Completely independent. Able to do all chores without slowness, difficulty, or impairment. Essentially ""normal"". Unaware of difficulty;Completely independent. Able to do all chores with some slowness, difficulty, and impairment. Might take twice as long. Beginning to be aware of difficulty;Completely independent in most chores. Takes twice as long. Conscious of difficulty and slowing.;Completely independent. More difficulty with some chores. Three to four times as long in some. Must spend a large part of the day with chores;Some dependency. Can do most chores, but exceedingly slowly and with much effort. Errors;some impossible;More dependent. Slower. Difficulty with everything;Very dependent. Can assist with all chores but few alone;With effort now and does a few chores alone or begins alone. Much help needed. Part invalid;Nothing alone. Can be slight help with some chores. Severe invalid;Vegetative functions such as swallowing, bladder and bowel function are not functioning.",Alphanumeric,"No additional instructions
","Schwab RS, England AC Jr. Projection techniques for evaluating surgery in Parkinson's Disease. pages 152-157 (Table 1, page 153). IN: Third Symposium on Parkinson's Disease, Royal College of Surgeons in Edinburgh, May 20-22, 1968. E. & S. Livingstone Ltd. 1969.",Adult,Supplemental,3,57:17.8,Schwab and England Activities of Daily Living Scale (ADL-Scale),Functional Outcomes,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Medical History,F0956,C00316,Medical history condition end date and time,MedclHistCondEndDateTime,"Date (and time, if applicable and known) for the end of an event in the participant's medical history","Date (and time, if applicable and known) for the end of an event in the participant's medical history",End Date,,,Date or Date & Time,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html). The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).
",No references available,Adult;Pediatric,Supplemental,3.1,42:44.0,Medical History,General Health History,Participant History and Family History,,"Free-Form Entry
",,,,,,3145557,
Medical History,F0956,C18666,Body system category other text,BodySysCatOTH,"The free-text field related to 'Body system category', specifying other text. Category or grouping used in the comprehensive assessment of a participant/subject, which includes a subjective history taking component as well as an objective based structured","The free-text field related to 'Body system category', specifying other text. Category or grouping used in the comprehensive assessment of a participant/subject, which includes a subjective history taking component as well as an objective based structured","Other, specify",,,Alphanumeric,"Record the appropriate body system for each line of medical history. Each body system is pre-populated on the case report form.
",Review of Symptoms from Centers for Medicare and Medicaid Services https://www.cms.gov/Outreach-and-Education/Medicare-Learning-Network-MLN/MLNProducts/downloads/eval_mgmt_serv_guide-ICN006764.pdf,Adult;Pediatric,Supplemental,1.1,40:35.0,Medical History,General Health History,Participant History and Family History,4000,"Free-Form Entry
",,,,,,2002895,
Medical History,F0956,C00317,Medical history condition start date and time,MedclHistCondStrtDateTime,"Date (and time, if applicable and known) for the start of an event in the participant's medical history","Date (and time, if applicable and known) for the start of an event in the participant's medical history",Start Date,,,Date or Date & Time,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html). The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).
",No references available,Adult;Pediatric,Core,3.1,42:43.0,Medical History,General Health History,Participant History and Family History,,"Free-Form Entry
",,,,,,2543596,
Medical History,F0956,C18817,Birth control method other text,BirthCntrlMethdOTH,The free-text field related to 'Birth control method type' specifying other text. The female participant's/subject's method of birth control,The free-text field related to 'Birth control method type' specifying other text. The female participant's/subject's method of birth control,"Other, specify",,,Alphanumeric,"Only answered if ""Is the subject of childbearing potential?"" is answered Yes.  Choose all that apply.
",No references available,Adult;Pediatric,Supplemental,3,57:17.8,Medical History,General Health History,Participant History and Family History,4000,"Free-Form Entry
",,,,,,,
Medical History,F0956,C00319,Medical history condition ongoing indicator,MedclHistCondOngoingInd,Indicator of whether a medical condition/disease experienced by the participant is ongoing,Indicator of whether a medical condition/disease experienced by the participant is ongoing,Ongoing,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Check Yes or No to indicate if the medical condition/disease is still present.
",No references available,Adult;Pediatric,Supplemental,4,42:44.0,Medical History,General Health History,Participant History and Family History,,"Single Pre-Defined Value Selected
",,,,,,2736881,
Medical History,F0956,C18818,Childbearing potential surgically sterile other text,ChldbrngPotentSurgSterilOTH,The free-text field related to 'Childbearing potential surgically sterile type' specifying other text. Type of surgical procedure that rendered the participant/subject sterile,The free-text field related to 'Childbearing potential surgically sterile type' specifying other text. Type of surgical procedure that rendered the participant/subject steril,"Other, specify",,,Alphanumeric,"Only answered if ""Is the subject of childbearing potential?"" is answered No, and ""Surgically sterile"" is checked as the reason.  Choose one.
",No references available,Adult,Supplemental,3,57:17.8,Medical History,General Health History,Participant History and Family History,4000,"Free-Form Entry
",,,,,,,
Medical History,F0956,C00321,Medical history for body system indicator,MedclHistBodySysInd,Indicator of whether the participant/subject has a history of medical problems/conditions for the specific body system,Indicator of whether the participant/subject has a history of medical problems/conditions for the specific body syste,Does the participant/subject have a history of any medical problems/conditions in the following body systems?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose one for each body system.
",No references available,Adult;Pediatric,Core,3,57:17.8,Medical History,General Health History,Participant History and Family History,,"Single Pre-Defined Value Selected
",,,,,,,
Medical History,F0956,C00322,Medical history condition text,MedclHistCondTxt,Verbatim text for the medical condition/disease reported by the participant/subject or documented in the medical record as part of medical history,Verbatim text for the medical condition/disease reported by the participant/subject or documented in the medical record as part of medical history,Medical History Term,,,Alphanumeric,"Record one Medical History term per line. See the data dictionary for additional information on coding the condition using SNOMED CT.
",SNOMED CT Codes (http://www.nlm.nih.gov/research/umls/Snomed/snomed_main.html),Adult;Pediatric,Core,3,54:08.2,Medical History,General Health History,Participant History and Family History,4000,"Free-Form Entry
",,,,,,2003874,
Medical History,F0956,C10980,Childbearing potential indicator,ChldbrngPtntlInd,Indicator of whether the participant is of childbearing potential,Indicator of whether the participant is of childbearing potential,Is the subject of childbearing potential?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose one. No should be chosen if the participant/subject is a male.
",No references available,Adult;Pediatric,Supplemental,3,57:17.8,Medical History,General Health History,Participant History and Family History,,"Single Pre-Defined Value Selected
",,,,,,,
