RXCUI,INGREDIENT
1437702,albuterol
1437702,ipratropium
607018,pregabalin
1807633,sodium chloride
1724644,hydromorphone
606731,esomeprazole
1807632,sodium chloride
828527,calcium chloride
647123,levetiracetam
197499,chlorthalidone
1659929,naloxone
200371,citalopram
311700,midazolam
1116927,dexamethasone
205324,modafinil
856834,amitriptyline
1734686,ertapenem
835605,tramadol
310812,triamterene
310812,hydrochlorothiazide
314077,lisinopril
615186,duloxetine
1665188,lorazepam
1795514,glucose
1855391,levalbuterol
1483571,docusate
1871155,potassium acetate
198443,acetaminophen
226552,scopolamine
314285,zonisamide
603162,ramelteon
1049623,oxycodone
242969,norepinephrine
1292887,dopamine
861583,esomeprazole
1243415,calcium carbonate
1243415,cholecalciferol
1291244,glucosamine
197528,clonazepam
860738,ranolazine
308907,calcium carbonate
856762,amitriptyline
207265,metoclopramide
863562,valganciclovir
310798,hydrochlorothiazide
597195,carboplatin
237367,potassium chloride
237367,sodium chloride
214004,alprazolam
312845,ropinirole
977986,loperamide
313896,vitamin b12
1094107,phenazopyridine
905395,hydralazine
2043695,bifidobacterium animalis
2043695,lactobacillus acidophilus
2101495,glycopyrronium
833532,amiodarone
485442,eszopiclone
1665697,meperidine
1731590,glycopyrronium
1738139,acetaminophen
1298834,isoxsuprine
1797931,budesonide
29561,meropenem
198946,vitamin b6
1012384,bupivacaine
1012384,epinephrine
607028,pregabalin
617311,atorvastatin
847630,lactate
847630,calcium chloride
847630,potassium chloride
847630,sodium chloride
1665088,cefepime
607033,pregabalin
1099678,valproate
238100,lorazepam
311725,mirtazapine
866429,metoprolol
1743707,methylprednisolone
197658,estradiol
309114,cephalexin
1868486,sodium bicarbonate
313931,carbamazepine
197902,lorazepam
861529,meperidine
751623,nebivolol
237870,aluminum hydroxide
237870,magnesium hydroxide
237870,simethicone
577960,dextroamphetamine
577960,amphetamine
197446,carisoprodol
855320,warfarin
1020026,cetirizine
152698,meloxicam
198365,prochlorperazine
1049611,oxycodone
1722939,meropenem
104894,ondansetron
1014677,cetirizine
485486,tizanidine
198191,ranitidine
352274,valsartan
1794559,cholecalciferol
830839,diltiazem
854875,zolpidem
309335,clindamycin
150750,atenolol
731328,peginterferon alfa-2a
863628,oxybutynin
206201,lamotrigine
996563,memantine
351973,gabapentin
261962,ramipril
1245468,docusate
1795610,glucose
991061,dicyclomine
1424889,vilanterol
1424889,fluticasone
2479835,sars-cov-2 (covid-19) vaccine; vector non-replicating
884709,estradiol
1147993,glucose
1000990,oxymetazoline
311373,loratadine
1789947,papaverine
1593725,sotalol
1652673,doxycycline
898344,amlodipine
898344,benazepril
997420,fexofenadine
810075,fesoterodine
261268,pioglitazone
387003,levetiracetam
1307431,sildenafil
208540,thyroid (usp)
237779,vitamin b12
992656,homatropine
992656,hydrocodone
1653204,insulin aspart; human
201901,fluconazole
855290,warfarin
1047907,hyoscyamine
261318,entacapone
311196,isosorbide
209443,acetaminophen
824586,psyllium
848943,cholestyramine resin
1099288,desipramine
996605,memantine
1246113,lidocaine
705824,zoledronic acid
860749,trimethobenzamide
197553,cyclosporine
966914,polyethylene glycol 3350
966914,sodium bicarbonate
966914,sodium sulfate
966914,potassium chloride
966914,sodium chloride
214182,acetaminophen
214182,hydrocodone
73032,remifentanil
82122,levofloxacin
312033,ethinyl estradiol
312033,norethindrone
763028,lorazepam
1243771,thrombin
1049613,oxycodone
541879,dextroamphetamine
541879,amphetamine
404432,sirolimus
206216,iron-dextran complex
261097,eptifibatide
823971,lisinopril
823971,hydrochlorothiazide
466537,methyl salicylate
466537,menthol
2589877,torsemide
207194,octreotide
105611,azathioprine
206511,hydrocortisone
206511,neomycin
206511,polymyxin b
1597570,buprenorphine
1597570,naloxone
762390,doxycycline
861012,metformin
108959,calcipotriene
208674,triamterene
1804806,alteplase
808357,benzocaine
830803,diltiazem
1247756,docusate
205732,furosemide
1795481,glucose
285032,travoprost
1804802,alteplase
794229,aspirin
1010739,lidocaine
993536,bupropion
1046924,atropine
1046924,hyoscyamine
1046924,phenobarbital
1046924,scopolamine
849395,amantadine
283433,melatonin
1251196,lactulose
1372488,lanolin
617768,lubiprostone
237786,folic acid
1190225,albuterol
1190225,ipratropium
313812,acyclovir
1052660,etravirine
1049565,oxycodone
359601,guaifenesin
312773,ranitidine
1658690,heparin
430902,baclofen
597977,amlodipine
597977,atorvastatin
1737744,lidocaine
487064,glucosamine
52356,magnesium citrate
798408,purified protein derivative of tuberculin
198006,nadolol
1085756,triamcinolone
995624,meclizine
858605,nicardipine
212233,sertraline
1086780,vilazodone
1049615,oxycodone
93252,triamterene
93252,hydrochlorothiazide
995258,hydroxyzine
857366,econazole
705728,cholecalciferol
1234585,phenylephrine
