yr,name,sex,age,age_lb,age_ub,wt
2011,B01001_003E,M,Under 5 years,0.0,5.0,0.0336209627584099
2012,B01001_003E,M,Under 5 years,0.0,5.0,0.033289664586846256
2013,B01001_003E,M,Under 5 years,0.0,5.0,0.032892322113529944
2014,B01001_003E,M,Under 5 years,0.0,5.0,0.03249172501948412
2015,B01001_003E,M,Under 5 years,0.0,5.0,0.03214922618159092
2016,B01001_003E,M,Under 5 years,0.0,5.0,0.03187494533572805
2017,B01001_003E,M,Under 5 years,0.0,5.0,0.03162517952596208
2018,B01001_003E,M,Under 5 years,0.0,5.0,0.03142417090356817
2019,B01001_003E,M,Under 5 years,0.0,5.0,0.031144695639217384
2020,B01001_003E,M,Under 5 years,0.0,5.0,0.03078022261663365
2011,B01001_004E,M,5 to 9 years,5.0,9.0,0.03358483469668468
2012,B01001_004E,M,5 to 9 years,5.0,9.0,0.03350706537687543
2013,B01001_004E,M,5 to 9 years,5.0,9.0,0.03339771699500573
2014,B01001_004E,M,5 to 9 years,5.0,9.0,0.0332283368687094
2015,B01001_004E,M,5 to 9 years,5.0,9.0,0.03307946323343687
2016,B01001_004E,M,5 to 9 years,5.0,9.0,0.03288874450499874
2017,B01001_004E,M,5 to 9 years,5.0,9.0,0.032495553869452014
2018,B01001_004E,M,5 to 9 years,5.0,9.0,0.03207623043983204
2019,B01001_004E,M,5 to 9 years,5.0,9.0,0.03165044283716186
2020,B01001_004E,M,5 to 9 years,5.0,9.0,0.0312065670298692
2011,B01001_005E,M,10 to 14 years,10.0,14.0,0.034520671193829934
2012,B01001_005E,M,10 to 14 years,10.0,14.0,0.03422240121846144
2013,B01001_005E,M,10 to 14 years,10.0,14.0,0.03399712330423693
2014,B01001_005E,M,10 to 14 years,10.0,14.0,0.03371671171860613
2015,B01001_005E,M,10 to 14 years,10.0,14.0,0.033369263065717185
2016,B01001_005E,M,10 to 14 years,10.0,14.0,0.03310987523841879
2017,B01001_005E,M,10 to 14 years,10.0,14.0,0.03297553793396986
2018,B01001_005E,M,10 to 14 years,10.0,14.0,0.03296455905043691
2019,B01001_005E,M,10 to 14 years,10.0,14.0,0.03297842536934998
2020,B01001_005E,M,10 to 14 years,10.0,14.0,0.03306418495396389
2011,B01001_006E,M,15 to 17 years,15.0,17.0,0.02186000829761481
2012,B01001_006E,M,15 to 17 years,15.0,17.0,0.02140211744623597
2013,B01001_006E,M,15 to 17 years,15.0,17.0,0.020994634742652417
2014,B01001_006E,M,15 to 17 years,15.0,17.0,0.020637048096629366
2015,B01001_006E,M,15 to 17 years,15.0,17.0,0.020368837408193653
2016,B01001_006E,M,15 to 17 years,15.0,17.0,0.020189311614624398
2017,B01001_006E,M,15 to 17 years,15.0,17.0,0.02006859675294115
2018,B01001_006E,M,15 to 17 years,15.0,17.0,0.01993398761231816
2019,B01001_006E,M,15 to 17 years,15.0,17.0,0.019800162178495853
2020,B01001_006E,M,15 to 17 years,15.0,17.0,0.019646742185582242
2011,B01001_007E,M,18 and 19 years,18.0,19.0,0.015133789678230052
2012,B01001_007E,M,18 and 19 years,18.0,19.0,0.015014502664468962
2013,B01001_007E,M,18 and 19 years,18.0,19.0,0.014777801672955313
2014,B01001_007E,M,18 and 19 years,18.0,19.0,0.014481631366199942
2015,B01001_007E,M,18 and 19 years,18.0,19.0,0.014203373305306733
2016,B01001_007E,M,18 and 19 years,18.0,19.0,0.013965540773053555
2017,B01001_007E,M,18 and 19 years,18.0,19.0,0.013761586768495674
2018,B01001_007E,M,18 and 19 years,18.0,19.0,0.013656812077607324
2019,B01001_007E,M,18 and 19 years,18.0,19.0,0.013585355576560045
2020,B01001_007E,M,18 and 19 years,18.0,19.0,0.013475773418364227
2011,B01001_008E,M,20 years,20.0,20.0,0.00775691044009726
2012,B01001_008E,M,20 years,20.0,20.0,0.007790007897134565
2013,B01001_008E,M,20 years,20.0,20.0,0.00782286590704654
2014,B01001_008E,M,20 years,20.0,20.0,0.007815169173325616
2015,B01001_008E,M,20 years,20.0,20.0,0.007751041300501186
2016,B01001_008E,M,20 years,20.0,20.0,0.007622686497042257
2017,B01001_008E,M,20 years,20.0,20.0,0.007470779053821526
2018,B01001_008E,M,20 years,20.0,20.0,0.00736089097708374
2019,B01001_008E,M,20 years,20.0,20.0,0.0072439420169145285
2020,B01001_008E,M,20 years,20.0,20.0,0.007076458024034518
2011,B01001_009E,M,21 years,21.0,21.0,0.0074622826231896455
2012,B01001_009E,M,21 years,21.0,21.0,0.007534016016518876
2013,B01001_009E,M,21 years,21.0,21.0,0.007569341918143973
2014,B01001_009E,M,21 years,21.0,21.0,0.007593305345510768
2015,B01001_009E,M,21 years,21.0,21.0,0.007585241902310854
2016,B01001_009E,M,21 years,21.0,21.0,0.007492314700133158
2017,B01001_009E,M,21 years,21.0,21.0,0.007331777846900401
2018,B01001_009E,M,21 years,21.0,21.0,0.007213416362181551
2019,B01001_009E,M,21 years,21.0,21.0,0.007093629939802948
2020,B01001_009E,M,21 years,21.0,21.0,0.00695112781388507
2011,B01001_010E,M,22 to 24 years,22.0,24.0,0.02060177198341839
2012,B01001_010E,M,22 to 24 years,22.0,24.0,0.020702473589598425
2013,B01001_010E,M,22 to 24 years,22.0,24.0,0.020893314382194213
2014,B01001_010E,M,22 to 24 years,22.0,24.0,0.02108330991987433
2015,B01001_010E,M,22 to 24 years,22.0,24.0,0.021238322209042964
2016,B01001_010E,M,22 to 24 years,22.0,24.0,0.02128464063651899
2017,B01001_010E,M,22 to 24 years,22.0,24.0,0.021181388329039357
2018,B01001_010E,M,22 to 24 years,22.0,24.0,0.020844502450162825
2019,B01001_010E,M,22 to 24 years,22.0,24.0,0.02044929501292117
2020,B01001_010E,M,22 to 24 years,22.0,24.0,0.020208482053677868
2011,B01001_011E,M,25 to 29 years,25.0,29.0,0.03437323008537547
2012,B01001_011E,M,25 to 29 years,25.0,29.0,0.034428101759148504
2013,B01001_011E,M,25 to 29 years,25.0,29.0,0.03445561197860435
2014,B01001_011E,M,25 to 29 years,25.0,29.0,0.034527693109907706
2015,B01001_011E,M,25 to 29 years,25.0,29.0,0.03472061441279907
2016,B01001_011E,M,25 to 29 years,25.0,29.0,0.03501022208936527
2017,B01001_011E,M,25 to 29 years,25.0,29.0,0.03544637317082067
2018,B01001_011E,M,25 to 29 years,25.0,29.0,0.03585934142519505
2019,B01001_011E,M,25 to 29 years,25.0,29.0,0.036148884226331134
2020,B01001_011E,M,25 to 29 years,25.0,29.0,0.0362874119205348
2011,B01001_012E,M,30 to 34 years,30.0,34.0,0.032245986197456174
2012,B01001_012E,M,30 to 34 years,30.0,34.0,0.03254916851872362
2013,B01001_012E,M,30 to 34 years,30.0,34.0,0.032941443148730064
2014,B01001_012E,M,30 to 34 years,30.0,34.0,0.03329293267387755
2015,B01001_012E,M,30 to 34 years,30.0,34.0,0.03357120608819383
2016,B01001_012E,M,30 to 34 years,30.0,34.0,0.03373436716400944
2017,B01001_012E,M,30 to 34 years,30.0,34.0,0.03388604879807772
2018,B01001_012E,M,30 to 34 years,30.0,34.0,0.03397738943484055
2019,B01001_012E,M,30 to 34 years,30.0,34.0,0.03410551340516495
2020,B01001_012E,M,30 to 34 years,30.0,34.0,0.0343714266008121
2011,B01001_013E,M,35 to 39 years,35.0,39.0,0.03306761666324183
2012,B01001_013E,M,35 to 39 years,35.0,39.0,0.03235056511573538
2013,B01001_013E,M,35 to 39 years,35.0,39.0,0.03178810833375163
2014,B01001_013E,M,35 to 39 years,35.0,39.0,0.03142191469963791
2015,B01001_013E,M,35 to 39 years,35.0,39.0,0.031276774696895035
2016,B01001_013E,M,35 to 39 years,35.0,39.0,0.03133895216283926
2017,B01001_013E,M,35 to 39 years,35.0,39.0,0.0316834995975616
2018,B01001_013E,M,35 to 39 years,35.0,39.0,0.032031870372972344
2019,B01001_013E,M,35 to 39 years,35.0,39.0,0.03240238819607629
2020,B01001_013E,M,35 to 39 years,35.0,39.0,0.032638694876984585
2011,B01001_014E,M,40 to 44 years,40.0,44.0,0.034587898024946676
2012,B01001_014E,M,40 to 44 years,40.0,44.0,0.034021611094833086
2013,B01001_014E,M,40 to 44 years,40.0,44.0,0.03352037353274781
2014,B01001_014E,M,40 to 44 years,40.0,44.0,0.033108514674568754
2015,B01001_014E,M,40 to 44 years,40.0,44.0,0.032639796896084754
2016,B01001_014E,M,40 to 44 years,40.0,44.0,0.03201742795088076
2017,B01001_014E,M,40 to 44 years,40.0,44.0,0.03138016419818186
2018,B01001_014E,M,40 to 44 years,40.0,44.0,0.030861949483719616
2019,B01001_014E,M,40 to 44 years,40.0,44.0,0.030504257043076008
2020,B01001_014E,M,40 to 44 years,40.0,44.0,0.030517527997456516
2011,B01001_015E,M,45 to 49 years,45.0,49.0,0.03648618517322089
2012,B01001_015E,M,45 to 49 years,45.0,49.0,0.03583952318414112
2013,B01001_015E,M,45 to 49 years,45.0,49.0,0.03506802157566119
2014,B01001_015E,M,45 to 49 years,45.0,49.0,0.034192918743596375
2015,B01001_015E,M,45 to 49 years,45.0,49.0,0.033401207837147166
2016,B01001_015E,M,45 to 49 years,45.0,49.0,0.03277972830594119
2017,B01001_015E,M,45 to 49 years,45.0,49.0,0.032318185588025274
2018,B01001_015E,M,45 to 49 years,45.0,49.0,0.03192208199470906
2019,B01001_015E,M,45 to 49 years,45.0,49.0,0.03159241965286521
2020,B01001_015E,M,45 to 49 years,45.0,49.0,0.031156709313295297
2011,B01001_016E,M,50 to 54 years,50.0,54.0,0.03502730879644886
2012,B01001_016E,M,50 to 54 years,50.0,54.0,0.03522538139844932
2013,B01001_016E,M,50 to 54 years,50.0,54.0,0.03525130020520158
2014,B01001_016E,M,50 to 54 years,50.0,54.0,0.035169047635996646
2015,B01001_016E,M,50 to 54 years,50.0,54.0,0.03491590688203073
2016,B01001_016E,M,50 to 54 years,50.0,54.0,0.03444509451934871
2017,B01001_016E,M,50 to 54 years,50.0,54.0,0.03384951347412498
2018,B01001_016E,M,50 to 54 years,50.0,54.0,0.03310700429165994
2019,B01001_016E,M,50 to 54 years,50.0,54.0,0.03231963124356912
2020,B01001_016E,M,50 to 54 years,50.0,54.0,0.03160135612009197
2011,B01001_017E,M,55 to 59 years,55.0,59.0,0.0303434492645446
2012,B01001_017E,M,55 to 59 years,55.0,59.0,0.03081319375754271
2013,B01001_017E,M,55 to 59 years,55.0,59.0,0.03134029577276562
2014,B01001_017E,M,55 to 59 years,55.0,59.0,0.03180230089939646
2015,B01001_017E,M,55 to 59 years,55.0,59.0,0.03214269568583919
2016,B01001_017E,M,55 to 59 years,55.0,59.0,0.032390669054651315
2017,B01001_017E,M,55 to 59 years,55.0,59.0,0.03250119553654601
2018,B01001_017E,M,55 to 59 years,55.0,59.0,0.03247328152975214
2019,B01001_017E,M,55 to 59 years,55.0,59.0,0.03237162420520903
2020,B01001_017E,M,55 to 59 years,55.0,59.0,0.03240829968014018
2011,B01001_018E,M,60 and 61 years,60.0,61.0,0.011183355565501653
2012,B01001_018E,M,60 and 61 years,60.0,61.0,0.011386972497274855
2013,B01001_018E,M,60 and 61 years,60.0,61.0,0.011459803017554978
2014,B01001_018E,M,60 and 61 years,60.0,61.0,0.011587026162071532
2015,B01001_018E,M,60 and 61 years,60.0,61.0,0.011784710843154581
2016,B01001_018E,M,60 and 61 years,60.0,61.0,0.011982807083122233
2017,B01001_018E,M,60 and 61 years,60.0,61.0,0.012180035272849074
2018,B01001_018E,M,60 and 61 years,60.0,61.0,0.012349794302023119
2019,B01001_018E,M,60 and 61 years,60.0,61.0,0.012500531455718694
2020,B01001_018E,M,60 and 61 years,60.0,61.0,0.012601214808588198
2011,B01001_019E,M,62 to 64 years,62.0,64.0,0.014312544073984843
2012,B01001_019E,M,62 to 64 years,62.0,64.0,0.01488381375828406
2013,B01001_019E,M,62 to 64 years,62.0,64.0,0.01544489184471215
2014,B01001_019E,M,62 to 64 years,62.0,64.0,0.015836729744051235
2015,B01001_019E,M,62 to 64 years,62.0,64.0,0.01609659466998882
2016,B01001_019E,M,62 to 64 years,62.0,64.0,0.01624403521012279
2017,B01001_019E,M,62 to 64 years,62.0,64.0,0.01651612527550128
2018,B01001_019E,M,62 to 64 years,62.0,64.0,0.016847029896250896
2019,B01001_019E,M,62 to 64 years,62.0,64.0,0.017173935535965065
2020,B01001_019E,M,62 to 64 years,62.0,64.0,0.017217827463443074
2011,B01001_020E,M,65 and 66 years,65.0,66.0,0.008059662749354565
2012,B01001_020E,M,65 and 66 years,65.0,66.0,0.00847475552810984
2013,B01001_020E,M,65 and 66 years,65.0,66.0,0.00893608986429376
2014,B01001_020E,M,65 and 66 years,65.0,66.0,0.0092811087316961
2015,B01001_020E,M,65 and 66 years,65.0,66.0,0.009668141468710896
2016,B01001_020E,M,65 and 66 years,65.0,66.0,0.010055454174801524
2017,B01001_020E,M,65 and 66 years,65.0,66.0,0.010239684964823552
2018,B01001_020E,M,65 and 66 years,65.0,66.0,0.010274963972930201
2019,B01001_020E,M,65 and 66 years,65.0,66.0,0.010416855464016933
2020,B01001_020E,M,65 and 66 years,65.0,66.0,0.010619062829995035
2011,B01001_021E,M,67 to 69 years,67.0,69.0,0.010298193591695278
2012,B01001_021E,M,67 to 69 years,67.0,69.0,0.010684533778754095
