TABLE_NAME,COLUMN_NAME,DATA_TYPE,DESCRIPTION
DEM,CASE_ID,NUMBER,"Case identifier, unique for each case only within the same facility"
DEM,DOB,TEXT,Date of Birth
DEM,DOB_P,TEXT,"Precision of date measurements (whether is recorded to the level of a year, month or day)"
DEM,DOB1,TEXT,Date of Birth GUID
DEM,DOB1_P,TEXT,"Precision of date measurements (whether is recorded to the level of a year, month or day)"
DEM,DSTYPE,TEXT,Disease Type
DEM,EDULVL,TEXT,Education Level - 1
DEM,EDULVL2,TEXT,Education Level - 3
DEM,EMPLOY,TEXT,Employment
DEM,ENROLDT,TEXT,Enrollment Date
DEM,ENROLDT_P,TEXT,"Precision of enrollment date (whether is recorded to the level of a year, month, or day)"
DEM,ETHNIC,TEXT,Race
DEM,ETHNICITY,TEXT,Ethnicity Type
DEM,ETHNICOSP,TEXT,"Race, Other"
DEM,FACILITY_DISPLAY_ID,TEXT,Facility identifier
DEM,FACPATID,TEXT,Facility-Patient ID
DEM,GENDER,TEXT,Gender Type
DEM,HAS_MNAME,NUMBER,Has Middlename
DEM,HLTIN,TEXT,Health Insurance
DEM,HLTINOSP,TEXT,"Health Insurance, Other"
DEM,INSCHOOL,TEXT,School currently
DEM,INSCHYES,TEXT,If in school
DEM,NONMDAPC,TEXT,PC Outside MDA Clinic
DEM,PATIENT_DISPLAY_ID,NUMBER,"Patient identifier, unique only within the same facility"
DEM,SEX,TEXT,Physical Sex at Birth
DIA,ALSDGNAG,NUMBER,ALS diagnosis age
DIA,ALSDGNDT,TEXT,ALS diagnosis date
DIA,ALSDGNDT_P,TEXT,"Precision of ALS diagnosis date (whether recorded to level of year, month, or day)"
DIA,ALSONSAG,NUMBER,ALS onset age
DIA,ALSONSDT,TEXT,ALS onset date
DIA,ALSONSDT_P,TEXT,"Precision of ALS onset date (whether recorded to level of year, month, or day)"
DIA,BDYPT,TEXT,Body part
DIA,BDYPTOT,TEXT,Other body part
DIA,CASE_ID,NUMBER,"Case identifier, unique for each case only within the same facility"
DIA,DOB,TEXT,Date of Birth
DIA,DOB_P,TEXT,"Precision of date measurements (whether is recorded to the level of a year, month or day)"
DIA,DSTYPE,TEXT,Disease Type 
DIA,ESCORIAL,TEXT,"Probability, based on El Escorial criteria, of having ALS (familial to definite) "
DIA,FACILITY_DISPLAY_ID,TEXT,Facility identifier
DIA,FACPATID,TEXT,Facility-Patient ID
DIA,FAMHST,TEXT,Family history of ALS
DIA,GENDER,TEXT,Gender Type
DIA,GENEMUOT,TEXT,Other genetic mutations found
DIA,GENEMUT,TEXT,Genetic mutations (commonly associated with ALS) found
DIA,PATIENT_DISPLAY_ID,NUMBER,"Patient identifier, unique only within the same facility"
DIA,RESPCER,TEXT,Response certainty
DIA,USNDR,NUMBER,US NDR
DIS,CASE_ID,NUMBER,"Case identifier, unique for each case only within the same facility"
DIS,DEATHCAUSE,TEXT,Death Primary Cause
DIS,DEATHCAUSE2,TEXT,Death Secondary Cause
DIS,DEATHCAUSEUNK,NUMBER,Death Primary Cause Unknown
DIS,DEATHDT,TEXT,Death Date
DIS,DEATHDT_P,TEXT,"Precision of date of date (year, month, or day)"
DIS,FACILITY_DISPLAY_ID,TEXT,Facility identifier
DIS,FACPATID,TEXT,Facility-Patient ID
DIS,ICD10DEATHCAUSE,TEXT,"Death Primary Cause, ICD10"
DIS,ICD10DEATHCAUSE2,TEXT,Death Secondary Cause ICD10
DIS,ICD9DEATHCAUSE,TEXT,"Death Primary Cause, ICD9"
DIS,ICD9DEATHCAUSE2,NUMBER,Death Secondary Cause ICD9
DIS,OTHSTWTHD,TEXT,"Study Exit Reason, Other"
DIS,PATDISC,TEXT,Discontinuation cause
DIS,PATIENT_DISPLAY_ID,NUMBER,"Patient identifier, unique only within the same facility"
DIS,STUEXDT,TEXT,Study Exit Date
DIS,STUEXDT_P,TEXT,"Precision of study exit date (year, month, or day)"
DIS,STWTHD,TEXT,Study Exit Reason
ENC,ABNML,TEXT,Abnormal neurological conditions 
ENC,ABNMLOT,TEXT,Other abnormal neurological conditions
ENC,ADMMTHD,TEXT,Administration method of assessment
ENC,ALSCBSBS,NUMBER,ALS-CBS Assessment Behavioral Score
ENC,ALSCBSCS,NUMBER,ALS-CBS Assessment Cognitive Score
ENC,ALSFRSDT,TEXT,ALSFRS-R Completion date
ENC,ALSFRSDT_P,TEXT,"Precision of ALSFRS-R completion date (whether recorded to level of year, month, or day)"
ENC,ALSFRSR,BOOLEAN,If ALSFRS-R Assessment completed
ENC,ALSFRSTL,NUMBER,Total ALSFRS-R Score
ENC,AMBLLOSS,BOOLEAN,Ambulatory loss
ENC,AMBLSDT,TEXT,Ambulatory loss date
ENC,AMBLSDT_P,TEXT,"Precision of ambulatory loss date (whether recorded to level of year, month, or day)"
ENC,APPRXFALL,NUMBER,Approximate number of falls
ENC,APPRXUNKWN,NUMBER,Approximate number of unknown falls
ENC,ASSTDVC,BOOLEAN,Assistive device current use
ENC,ASSTDVCCHNGE,TEXT,Assistive device changes since last visit
ENC,ASSTPLN,TEXT,End of life planning
ENC,BMI,NUMBER,Body Mass Index
ENC,CASE_ID,NUMBER,"Case identifier, unique for each case only within the same facility"
ENC,CLMBSTRS,TEXT,ALSFRS Score for climbing stairs (4=normal)
ENC,CLMBSTRS_ALSFRSR,TEXT,ALSFRS_R Score for climbing stairs (4=normal)
ENC,CLNTRLYN,TEXT,Current pariticipation in any other clinical research
ENC,COGIMP,TEXT,Cognitive Impairment
ENC,CURMED2,TEXT,Medications used currently
