TABLE_NAME,COLUMN_NAME,DATA_TYPE,DESCRIPTION
ADVERSEEVENTS,SUBJECT_ID,NUMBER,"primary key, arbitrary subject identifiers"
ADVERSEEVENTS,SEVERITY,TEXT,severity of symptom
ADVERSEEVENTS,SOC_ABBREVIATION,TEXT,System Organ Class abbreviation
ADVERSEEVENTS,END_DATE_DELTA,NUMBER,time in days until end of adverse event
ADVERSEEVENTS,OUTCOME,TEXT,"outcome (resolved, ongoing, etc)"
ADVERSEEVENTS,SYSTEM_ORGAN_CLASS,TEXT,System Organ Class
ADVERSEEVENTS,SOC_CODE,NUMBER,System Organ Class code
ADVERSEEVENTS,HIGH_LEVEL_GROUP_TERM,TEXT,high level group term
ADVERSEEVENTS,START_DATE_DELTA,NUMBER,time in days until start day of the adverse event
ADVERSEEVENTS,HIGH_LEVEL_TERM,TEXT,high level term 
ADVERSEEVENTS,PREFERRED_TERM,TEXT,preferred term for the adverse event
ADVERSEEVENTS,LOWEST_LEVEL_TERM,TEXT,the recorded adverse event
ALSFRS,SUBJECT_ID,NUMBER,"primary key, arbitrary subject identifiers"
ALSFRS,ALSFRS_RESPONDED_BY,TEXT,ALS functional rating score responded by
ALSFRS,ALSFRS_TOTAL,NUMBER,total sum of ALSFRS scores
ALSFRS,ALSFRS_R_TOTAL,NUMBER,total sum of ALSFRS-R (revised assessment) scores
ALSFRS,ALSFRS_DELTA,NUMBER,time between patient's first screening and each assessment of ALSFRS
ALSFRS,MODE_OF_ADMINISTRATION,TEXT,mode of administration
ALSFRS,Q1_SPEECH,NUMBER,"functional rating of speech (0=no function, 4=normal function)"
ALSFRS,Q2_SALIVATION,NUMBER,functional rating of salivation
ALSFRS,Q3_SWALLOWING,NUMBER,functional rating of swallowing
ALSFRS,Q4_HANDWRITING,NUMBER,functional rating of handwriting
ALSFRS,Q5A_CUTTING_WITHOUT_GASTROSTOMY,NUMBER,functional rating of cutting food without gastrostomy
ALSFRS,Q5B_CUTTING_WITH_GASTROSTOMY,NUMBER,functional rating of cutting food with gastrostomy
ALSFRS,Q6_DRESSING_AND_HYGIENE,NUMBER,functional rating of dressing and hygiene
