EPA ID,Site Name,City,County,State,Street Address,Zip Code,Region,NPL Status,Partial NPL Deletion,Superfund Alternative Approach,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Construction Complete,Construction Completion Date,Non-NPL Status Category,Non-NPL Status Subcategory,Non-NPL Status,Site Status,Site Type,Site Type Subcategory,Federal Agency,Native American Interest (NAI),Indian Entity (NAI Status),HRS Score,Federal Facility Indicator,Alias/Alternative Site Name,Non-NPL Status Date,Superfund Site Profile Page URL,RCRA Handler ID - RCRA Handler Name
NED981713837,10TH STREET SITE,COLUMBUS,PLATTE,NE,28TH AVE & 10TH ST, 68601 ,R07,Final NPL,No,No,Yes,Yes,Yes,Yes,6/22/2007,,,,Active,Other,Ground water plume site with no identifiable source,,No,,28.9,No,"10TH STREET SITE, COLUMBUS PUBLIC WATER SUPPLY SS#07CS",2/13/1987,www.epa.gov/superfund/10thstreet,
KSD007241656,29TH & MEAD GROUND WATER CONTAMINATION,WICHITA,SEDGWICK,KS,412 E 29TH N 26S 1E SW 1/4 S 33, 67219 ,R07,Deleted NPL,Yes,No,No,Yes,Yes,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under State Program,Formal State Deferral,Active,Other,Ground water plume site with no identifiable source,,No,,,No,"WICHITA BRASS CO INC (FINDS), 29TH & MEAD GROUNDWATER CONTAMINATION, 29TH & MEAD GROUND WATER CONTAMINATION, COLEMAN OPERABLE UNIT, 29TH & MEAD GROUND WATER CONTAMINATION, NORTH INDUSTRIAL CORRIDOR SITE, TWENTYNINTH & MEAD SS#079Q",1/1/1996,www.epa.gov/superfund/29thandmead,
ALN000410750,35TH AVENUE,BIRMINGHAM,JEFFERSON,AL,3500 35TH N., 35207 ,R04,Proposed NPL,No,No,No,Status Unavailable,Status Unavailable,No,,,,,Active,"Other, Other, Manufacturing/Processing/Maintenance","Residential, Coal gasification, Spill or other one-time event",,No,,50,No,"WALTER COKE, 35TH AVENUE COKE SITE, 35TH AVENUE SITE",9/22/2014,www.epa.gov/superfund/35th-avenue,
KSD981710247,57TH AND NORTH BROADWAY STREETS SITE,WICHITA,SEDGWICK,KS,57TH & N BROADWAY STREETS, 67219 ,R07,Final NPL,No,No,No,Yes,No,Yes,9/10/2002,,,,Active,Other,Ground water plume site with no identifiable source,,No,,50,No,"NORTH BROADWAY (FINDS), 57TH AND NORTH BROADWAY STREETS SITE, 57TH AND NORTH BROADWAY STREETS SITE, 57TH AND NORTH BROADWAY STREETS SITE, 57TH AND NORTH BROADWAY STREETS, 57TH AND N. BROADWAY STREETS SITE, WICHITA HEIGHTS, 57TH AND NORTH BROADWAY STREETS SITE",2/4/1987,www.epa.gov/superfund/57thandbroadway,
MDD980918387,68TH STREET DUMP/INDUSTRIAL ENTERPRISES,ROSEDALE,BALTIMORE,MD,68TH STREET, 21237 ,R03,Proposed NPL,No,Yes,No,Yes,Yes,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,"Waste Management, Waste Management","Industrial waste facility (non-generator), Co-disposal landfill (municipal and industrial)",,No,,50,No,"R.M. WINSTEAD, COLGATE PAY DUMP, 68TH STREET DUMP, 68TH STREET DUMP/INDUSTRIAL ENTERPRISES, Industrial Enterprises Site, 68TH STREET LANDFILL SITE, 68TH STREET DUMP/INDUSTRIAL ENTERPRISES",4/30/2003,www.epa.gov/superfund/68thstreet,
UTD981548985,700 SOUTH 1600 EAST PCE PLUME,SALT LAKE CITY,SALT LAKE,UT,INTERSECTION OF 700 SOUTH & 1600 EAST, 84102 ,R08,Final NPL,No,No,No,No,Insufficient Data,No,,,,,Active,Other,Dry-Cleaning Operations,Department of Veterans Affairs,No,,50,Yes,"OLD DUMP/FILL SITE, MOUNT OLIVET CEMETERY PLUME, 700 SOUTH 1600 EAST PCE PLUME, 7 SOUTH 16 EAST PCE PLUME-MTO, OLD DUMP/FILL SITE, MOUNT OLIVET CEMETARY PLUME, MOUNT OLIVET CEMETERY PLUME, MOUNT OLIVET CEMETERY PLUME, OLD DUMP/FILL SITE, ARMY NATIONAL GUARD, VA HOSPITAL PCE PLUME",3/6/1987,www.epa.gov/superfund/700-south,
ILD980397079,"A & F MATERIAL RECLAIMING, INC.",GREENUP,CUMBERLAND,IL,WEST CUMBERLAND, 62428 ,R05,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,9/24/1992,,,,Active,"Recycling, Recycling, Recycling","Multiple, Waste/used oil, Chemicals/chemical waste (e.g., solvent recovery)",,No,,,No,"A & F MATERIALS RECLAIMING, INC., A & F MATERIALS RECLAIMING, INC., A & F MATERIALS/GREENUP, A & F MATERIAL RECLAIMING, INC., A & F MATERIALS / GREEN UP, A & F MATERIALS, A & F MATERIALS, A & F MATERIALS RECLAIMING INC, A & F MATERIALS/GREENUP, A & F MATERIAL RECLAIMING, INC",[Blank Date],www.epa.gov/superfund/af-material-reclaiming,
NJD030253355,A. O. POLYMER,SPARTA TOWNSHIP,SUSSEX,NJ,44 STATION ROAD, 07871 ,R02,Final NPL,Yes,No,Yes,Yes,Yes,Yes,5/8/1998,,,,Active,Manufacturing/Processing/Maintenance,Plastics and rubber products,,No,,,No,"A.0. POLYMER, A.O. POLYMER, A O POLYMER, A. O. POLYMER, A 0 POLYMER, A. O. POLYMER",10/1/1978,www.epa.gov/superfund/ao-polymer,
PAD004351003,A.I.W. FRANK/MID-COUNTY MUSTANG,EXTON,CHESTER,PA,INT RTE 202 & RTE 30, 19341 ,R03,Final NPL,No,No,Yes,Yes,Yes,Yes,11/8/2000,,,,Active,"Manufacturing/Processing/Maintenance, Manufacturing/Processing/Maintenance, Manufacturing/Processing/Maintenance","Multiple, Other, Trucks/ships/trains/aircraft and related components",,No,,42.4,No,"AIW FRANK, EXTON AREA SITES, CONTINENTAL *, A.I.W. FRANK/MID-COUNTY MUSTANG",[Blank Date],www.epa.gov/superfund/aiwfrank,
KYD980500961,A.L. TAYLOR (VALLEY OF DRUMS),BROOKS,BULLITT,KY,ST HWY 1020, 40165 ,R04,Deleted NPL,Yes,No,No,Yes,Yes,Yes,8/10/1990,,,,Active,"Multiple, Recycling, Waste Management","Drums/tanks, Multiple, Industrial waste facility (non-generator)",,No,,,No,"A. L. TAYLOR (VALLEY OF DRUMS), VALLEY OF THE DRUMS, A.L. TAYLOR (VALLEY OF DRUMS), TAYLOR A L SITE, A.L. TAYLOR (VALLEY OF DRUMS)",[Blank Date],www.epa.gov/superfund/al-taylor-valley-of-drums,
